Left_x,Left_y,Right_x,Right_y,time(s),Encoder,Scissor_metric
-0.309207602,0.072252251,-0.416539458,-0.085079381,9.317905903,0.585991972,0.107331856
-0.324636569,0.088966761,-0.333272681,-0.066268955,9.440214157,0.591081284,0.008636112
-0.359820753,0.075368944,-0.274041344,-0.07636386,9.532305241,0.584071161,-0.085779409
-0.359820753,0.075368944,-0.274041344,-0.07636386,9.648665428,0.576125292,-0.085779409
-0.405214221,0.082721392,-0.284724102,-0.066860557,9.718444109,0.577881926,-0.120490119
-0.405214221,0.082721392,-0.284724102,-0.066860557,9.816513777,0.578489346,-0.120490119
-0.405214221,0.082721392,-0.284724102,-0.066860557,9.916125298,0.574828341,-0.120490119
-0.453659311,0.092042197,-0.295778583,-0.061475444,10.01710749,0.572562794,-0.157880728
-0.453659311,0.092042197,-0.295778583,-0.061475444,10.12862945,0.567473496,-0.157880728
-0.467132854,0.092716931,-0.335018298,-0.07684148,10.22391844,0.560463388,-0.132114556
-0.402714357,0.080510819,-0.362132978,-0.090224108,10.33864617,0.559938035,-0.040581379
-0.402714357,0.080510819,-0.362132978,-0.090224108,10.42108893,0.56522436,-0.040581379
-0.372072375,0.161517532,-0.356095587,-0.014840088,10.51532793,0.56522436,-0.015976788
-0.288769914,0.071571622,-0.42135529,-0.071753531,10.61537266,0.569952481,0.132585377
-0.288769914,0.071571622,-0.42135529,-0.071753531,10.71666384,0.58344733,0.132585377
-0.294010442,0.068777879,-0.444984376,-0.077124071,10.81569695,0.599667424,0.150973933
-0.294010442,0.068777879,-0.444984376,-0.077124071,10.91965032,0.586681488,0.150973933
-0.307500797,0.071817747,-0.451803797,-0.071463677,11.01842237,0.569377882,0.144303
-0.307500797,0.071817747,-0.451803797,-0.071463677,11.12011933,0.56865553,0.144303
-0.307500797,0.071817747,-0.451803797,-0.071463677,11.22329164,0.552550354,0.144303
-0.35743106,0.069204221,-0.305123141,-0.079947029,11.31583905,0.526020324,-0.052307919
-0.375279988,0.085833731,-0.27129331,-0.060430778,11.42870259,0.524444278,-0.103986679
-0.375279988,0.085833731,-0.27129331,-0.060430778,11.52602124,0.521932472,-0.103986679
-0.40772999,0.09405489,-0.279274594,-0.057200478,11.62236929,0.538415235,-0.128455396
-0.40772999,0.09405489,-0.279274594,-0.057200478,11.72447395,0.542815002,-0.128455396
-0.40772999,0.09405489,-0.279274594,-0.057200478,11.82074761,0.567309305,-0.128455396
-0.446049237,0.099135624,-0.304090623,-0.05403881,11.91809082,0.577356572,-0.141958614
-0.446049237,0.099135624,-0.304090623,-0.05403881,12.01975179,0.573088147,-0.141958614
-0.46186444,0.099152763,-0.352146437,-0.067408311,12.11682248,0.559544038,-0.109718003
-0.449466387,0.193086108,-0.388560502,-0.002781911,12.21881223,0.563779656,-0.060905885
-0.449466387,0.193086108,-0.388560502,-0.002781911,12.3161571,0.565454194,-0.060905885
-0.381245926,0.170297965,-0.375670025,-0.005552053,12.41903257,0.568097342,-0.005575901
-0.381245926,0.170297965,-0.375670025,-0.005552053,12.52038264,0.577602846,-0.005575901
-0.305298009,0.07834161,-0.44482966,-0.066344352,12.61680222,0.587026254,0.139531651
-0.303073394,0.068724362,-0.465064072,-0.072420385,12.71573567,0.603115019,0.161990678
-0.303073394,0.068724362,-0.465064072,-0.072420385,12.81726241,0.607843155,0.161990678
-0.323929989,0.072850705,-0.468141796,-0.068328561,12.92108154,0.618481433,0.144211807
-0.323929989,0.072850705,-0.468141796,-0.068328561,13.01582575,0.61022362,0.144211807
-0.323929989,0.072850705,-0.468141796,-0.068328561,13.11601925,0.61022362,0.144211807
-0.382657478,0.06900457,-0.319842477,-0.077483316,13.22289324,0.589193309,-0.062815001
-0.382657478,0.06900457,-0.319842477,-0.077483316,13.31711316,0.579654984,-0.062815001
-0.382657478,0.06900457,-0.319842477,-0.077483316,13.418221,0.579654984,-0.062815001
-0.432159335,0.09683338,-0.295322757,-0.052523445,13.51832414,0.590752944,-0.136836578
-0.432159335,0.09683338,-0.295322757,-0.052523445,13.62263966,0.607383459,-0.136836578
-0.432159335,0.09683338,-0.295322757,-0.052523445,13.71516132,0.607383459,-0.136836578
-0.479977553,0.096987062,-0.332762861,-0.063887526,13.81825686,0.6124071,-0.147214692
