Left_x,Left_y,Right_x,Right_y,time(s),Encoder,Scissor_metric
-0.334592492,0.065367703,-0.280483644,-0.083354092,12.52911115,1.055685228,-0.054108848
-0.420716258,0.103013519,-0.288758117,-0.052743552,12.6120584,1.052598808,-0.131958141
-0.420716258,0.103013519,-0.288758117,-0.052743552,12.71236968,1.045851354,-0.131958141
-0.420716258,0.103013519,-0.288758117,-0.052743552,12.81806612,1.049725826,-0.131958141
-0.420716258,0.103013519,-0.288758117,-0.052743552,12.91935897,1.050136248,-0.131958141
-0.481693247,0.083991886,-0.318437977,-0.074432617,13.01579595,1.052631629,-0.163255269
-0.383897695,0.087923779,-0.389115548,-0.078012205,13.14006042,1.046573764,0.005217853
-0.383897695,0.087923779,-0.389115548,-0.078012205,13.26155138,1.042305324,0.005217853
-0.299069547,0.062580448,-0.454937463,-0.0887849,13.31326962,1.052188415,0.155867917
-0.299069547,0.062580448,-0.454937463,-0.0887849,13.41249633,1.064944487,0.155867917
-0.306828692,0.063821055,-0.499689137,-0.088553632,13.51508498,1.071281461,0.192860445
-0.306828692,0.063821055,-0.499689137,-0.088553632,13.61635375,1.063959423,0.192860445
-0.306828692,0.063821055,-0.499689137,-0.088553632,13.7161355,1.063959423,0.192860445
-0.362678551,0.06193249,-0.286556622,-0.07912598,13.81357718,1.050382506,-0.076121929
-0.459440286,0.105372958,-0.311077437,-0.057230427,13.91750669,1.058262705,-0.14836285
-0.459440286,0.105372958,-0.311077437,-0.057230427,14.01724482,1.058262705,-0.14836285
-0.459440286,0.105372958,-0.311077437,-0.057230427,14.11388922,1.081328743,-0.14836285
-0.459440286,0.105372958,-0.311077437,-0.057230427,14.21712303,1.081328743,-0.14836285
-0.459440286,0.105372958,-0.311077437,-0.057230427,14.31676936,1.090505878,-0.14836285
-0.415763148,0.063465456,-0.434969203,-0.107829594,14.41273928,1.063105729,0.019206055
-0.415763148,0.063465456,-0.434969203,-0.107829594,14.5128994,1.063105729,0.019206055
-0.331200288,0.060334392,-0.482027636,-0.090560159,14.61610317,1.065502647,0.150827348
-0.318552327,0.057355307,-0.520873534,-0.094933606,14.71975422,1.065502647,0.202321207
-0.318552327,0.057355307,-0.520873534,-0.094933606,14.81598687,1.08484201,0.202321207
-0.311056216,0.048032284,-0.416580812,-0.105982455,14.91663432,1.087994101,0.105524596
-0.311056216,0.048032284,-0.416580812,-0.105982455,15.01816845,1.087994101,0.105524596
-0.328260539,-0.012168107,-0.441117595,-0.02296925,15.11247897,1.063499755,0.112857056
-0.461844424,0.084523788,-0.315161155,-0.068866891,15.21324182,1.042420184,-0.14668327
-0.461844424,0.084523788,-0.315161155,-0.068866891,15.31228328,1.068490575,-0.14668327
-0.530191974,0.07356257,-0.309778236,-0.069760617,15.41768122,1.079834794,-0.220413737
-0.539437939,0.073515064,-0.334349804,-0.081885514,15.5177052,1.080228819,-0.205088135
-0.539437939,0.073515064,-0.334349804,-0.081885514,15.61979747,1.058016475,-0.205088135
-0.435570106,0.071550414,-0.426181385,-0.102662282,15.73228788,1.028695501,-0.009388721
-0.435570106,0.071550414,-0.426181385,-0.102662282,15.87514186,1.020913794,-0.009388721
-0.435570106,0.071550414,-0.426181385,-0.102662282,15.91889286,1.022965933,-0.009388721
-0.322930917,0.052561005,-0.514151628,-0.0938652,16.01179338,1.029220868,0.191220711
-0.322930917,0.052561005,-0.514151628,-0.0938652,16.11177659,1.044948443,0.191220711
-0.322930917,0.052561005,-0.514151628,-0.0938652,16.21285152,1.023934572,0.191220711
-0.361100035,0.058850605,-0.299286283,-0.086382612,16.31661725,1.004348979,-0.061813752
-0.361100035,0.058850605,-0.299286283,-0.086382612,16.42055774,0.987357259,-0.061813752
-0.449635118,0.104610145,-0.301066471,-0.053754084,16.51929927,0.986831892,-0.148568647
-0.449635118,0.104610145,-0.301066471,-0.053754084,16.61690879,1.006959277,-0.148568647
-0.449635118,0.104610145,-0.301066471,-0.053754084,16.71896243,1.024476336,-0.148568647
-0.507227644,0.094185613,-0.300088308,-0.059459662,16.81338406,1.024722537,-0.207139336
-0.507227644,0.094185613,-0.300088308,-0.059459662,16.91961193,1.024722537,-0.207139336
-0.421543844,0.091930598,-0.369875594,-0.075138308,17.02064705,0.991904808,-0.05166825
-0.314694887,0.079482232,-0.426368043,-0.068528219,17.11217213,0.978623396,0.111673156
-0.314694887,0.079482232,-0.426368043,-0.068528219,17.21962452,0.976571258,0.111673156
-0.292631487,0.069824247,-0.483105577,-0.06807844,17.32049966,0.997667225,0.19047409
-0.30629837,0.060259089,-0.471530956,-0.095453342,17.41797733,1.009454687,0.165232586
-0.30629837,0.060259089,-0.471530956,-0.095453342,17.51187396,1.01076802,0.165232586
-0.30629837,0.060259089,-0.471530956,-0.095453342,17.61547399,1.006630923,0.165232586
-0.30629837,0.060259089,-0.471530956,-0.095453342,17.71387005,1.006630923,0.165232586
-0.40444924,0.076577071,-0.259804158,-0.066086722,17.8302393,0.987340835,-0.144645082
-0.4825831,0.084388023,-0.277896134,-0.069464283,17.91459823,0.970513278,-0.204686966
-0.4825831,0.084388023,-0.277896134,-0.069464283,18.01836705,0.984024552,-0.204686966
-0.489759331,0.082041868,-0.301863742,-0.07287567,18.12001514,1.015972278,-0.18789559
-0.489759331,0.082041868,-0.301863742,-0.07287567,18.21542978,1.019337778,-0.18789559
-0.440543371,0.074721689,-0.375390254,-0.094942625,18.32283187,1.030681968,-0.065153117
-0.328435542,0.055609568,-0.431009347,-0.098576578,18.41788435,1.032816173,0.102573805
-0.328435542,0.055609568,-0.431009347,-0.098576578,18.51439118,1.032816173,0.102573805
-0.274373622,0.054967352,-0.481436822,-0.088224522,18.61210966,1.053715156,0.2070632
-0.304342322,0.045654587,-0.486044445,-0.109146253,18.71455908,1.088338852,0.181702123
-0.304342322,0.045654587,-0.486044445,-0.109146253,18.82057047,1.103442596,0.181702123
-0.30758549,0.056616205,-0.348758963,-0.093248533,18.96063614,1.108975151,0.041173473
-0.30758549,0.056616205,-0.348758963,-0.093248533,19.0533154,1.107070751,0.041173473
-0.30758549,0.056616205,-0.348758963,-0.093248533,19.11211753,1.107070751,0.041173473
-0.486427299,0.066272905,-0.298319862,-0.076527538,19.21230888,1.122978943,-0.188107437
-0.486427299,0.066272905,-0.298319862,-0.076527538,19.31235194,1.13686776,-0.188107437
-0.517520836,0.070861633,-0.309098564,-0.071145492,19.41449904,1.139937755,-0.208422273
-0.467122227,0.071441086,-0.386742818,-0.096261892,19.51214314,1.122946093,-0.080379408
-0.467122227,0.071441086,-0.386742818,-0.096261892,19.61349392,1.113473424,-0.080379408
-0.338359189,0.069582125,-0.447661863,-0.080074194,19.72680449,1.113407753,0.109302674
-0.338359189,0.069582125,-0.447661863,-0.080074194,19.83779764,1.098418926,0.109302674
-0.293778698,0.056542521,-0.50694925,-0.088693408,19.91583943,1.108646796,0.213170552
-0.313217399,0.048162916,-0.46168391,-0.107364317,20.01238346,1.11050195,0.148466511
-0.313217399,0.048162916,-0.46168391,-0.107364317,20.1181736,1.087550829,0.148466511
-0.323635092,-0.013677909,-0.451565567,-0.028503991,20.21761775,1.075320066,0.127930475
-0.421166168,0.068466489,-0.290458602,-0.076892748,20.31573558,1.046245409,-0.130707566
-0.421166168,0.068466489,-0.290458602,-0.076892748,20.42384386,1.058295555,-0.130707566
-0.501985578,0.068045971,-0.307587025,-0.071733425,20.51975346,1.076830441,-0.194398554
-0.501985578,0.068045971,-0.307587025,-0.071733425,20.61262774,1.098418926,-0.194398554
-0.525994501,0.076145637,-0.334967981,-0.073405141,20.71643591,1.093838557,-0.19102652
-0.525994501,0.076145637,-0.334967981,-0.073405141,20.8187933,1.083495798,-0.19102652
-0.525994501,0.076145637,-0.334967981,-0.073405141,20.9118886,1.058311979,-0.19102652
-0.347855728,0.072404276,-0.460571828,-0.079825549,21.01255393,1.049299008,0.1127161
-0.308436317,0.061686544,-0.516523336,-0.084017608,21.11484838,1.051663018,0.208087019
-0.308436317,0.061686544,-0.516523336,-0.084017608,21.21445537,1.058640277,0.208087019
-0.310831757,0.056890066,-0.471659008,-0.097160042,21.3192637,1.080983963,0.160827252
-0.310831757,0.056890066,-0.471659008,-0.097160042,21.41810369,1.06847415,0.160827252
-0.310831757,0.056890066,-0.471659008,-0.097160042,21.51214266,1.06847415,0.160827252
-0.404537419,0.07942115,-0.278957393,-0.066417399,21.62129903,1.055750899,-0.125580026
-0.404537419,0.07942115,-0.278957393,-0.066417399,21.72361636,1.045457386,-0.125580026
-0.404537419,0.07942115,-0.278957393,-0.066417399,21.81606269,1.059214919,-0.125580026
-0.502437475,0.092285163,-0.325797045,-0.074629378,21.91183782,1.059625312,-0.17664043
-0.502437475,0.092285163,-0.325797045,-0.074629378,22.02197146,1.056079253,-0.17664043
-0.409782485,0.083747462,-0.398215277,-0.089778267,22.14526868,1.02862983,-0.011567208
-0.409782485,0.083747462,-0.398215277,-0.089778267,22.31251073,1.024821058,-0.011567208
-0.300866661,0.073505628,-0.455310444,-0.075282831,22.31520486,1.024821058,0.154443783
-0.291642425,0.063395028,-0.491476933,-0.072394896,22.41691136,1.034589231,0.199834508
-0.291642425,0.063395028,-0.491476933,-0.072394896,22.51420641,1.059461149,0.199834508
-0.295906536,0.062898133,-0.439882404,-0.0912996,22.61686444,1.068589009,0.143975869
-0.295906536,0.062898133,-0.439882404,-0.0912996,22.71825242,1.057605995,0.143975869
-0.295906536,0.062898133,-0.439882404,-0.0912996,22.816607,1.050513848,0.143975869
-0.397675628,0.077836835,-0.278418922,-0.068779116,22.98060107,1.090177523,-0.119256706
-0.477261384,0.083363907,-0.286059617,-0.05766735,23.01530647,1.102720215,-0.191201767
-0.477261384,0.083363907,-0.286059617,-0.05766735,23.11526847,1.118841816,-0.191201767
-0.508076661,0.08264054,-0.323624989,-0.076516746,23.21195054,1.14213766,-0.184451672
-0.508076661,0.08264054,-0.323624989,-0.076516746,23.31689644,1.143286887,-0.184451672
-0.426048925,-0.002403185,-0.391268015,-0.021346072,23.42072392,1.138197575,-0.034780909
-0.314115409,0.063452413,-0.479512597,-0.085032308,23.51854324,1.122322204,0.165397188
-0.314115409,0.063452413,-0.479512597,-0.085032308,23.62125945,1.122322204,0.165397188
-0.305018878,0.058377678,-0.532396124,-0.096271962,23.71987557,1.135652919,0.227377246
-0.305018878,0.058377678,-0.532396124,-0.096271962,23.81441355,1.15049398,0.227377246
-0.305018878,0.058377678,-0.532396124,-0.096271962,23.91183424,1.155550442,0.227377246
-0.363044383,0.053502151,-0.280356114,-0.08018406,24.01890302,1.133321701,-0.082688268
-0.363044383,0.053502151,-0.280356114,-0.08018406,24.11427283,1.124357947,-0.082688268
-0.453196883,0.084223613,-0.31448884,-0.067308877,24.21529889,1.126968245,-0.138708042
-0.514631907,0.075956944,-0.302041138,-0.065383496,24.31926537,1.133781369,-0.21259077
-0.514631907,0.075956944,-0.302041138,-0.065383496,24.41931176,1.13076062,-0.21259077
-0.516126893,0.07775288,-0.362623955,-0.098604795,24.5135119,1.120286491,-0.153502938
-0.516126893,0.07775288,-0.362623955,-0.098604795,24.61494541,1.096333938,-0.153502938
-0.380415778,0.062962083,-0.454661251,-0.111219063,24.71196127,1.081312289,0.074245473
-0.298442699,0.051833971,-0.497817144,-0.095280285,24.81214309,1.083118169,0.199374445
-0.298442699,0.051833971,-0.497817144,-0.095280285,24.91189694,1.084447955,0.199374445
-0.30369797,0.050899578,-0.508610087,-0.105945541,25.01801872,1.091359572,0.204912117
-0.30369797,0.050899578,-0.508610087,-0.105945541,25.11588621,1.084940502,0.204912117
-0.30369797,0.050899578,-0.508610087,-0.105945541,25.21918559,1.058853715,0.204912117
-0.366270184,0.059157169,-0.29510491,-0.08352538,25.32807159,1.044817073,-0.071165274
-0.366270184,0.059157169,-0.29510491,-0.08352538,25.42009306,1.036247401,-0.071165274
-0.450184633,0.071172985,-0.313412814,-0.069972488,25.51685143,1.03215955,-0.136771819
